,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
899,73247.0,Мясная гастрономия,6.2,6.2,25.5,
900,3307409.0,Бакалея (Food),8.5,8.5,8.5,12.0
901,4329257.0,Кондитерские изделия (Food),6.7,1.5,13.5,
902,4238856.0,Бакалея (Food),12.5,4.5,18.5,
903,3605165.0,Кондитерские изделия (Food),9.2,29.3,1.2,
904,4172331.0,Сопутствующие товары (Food),6.0,14.4,15.6,
905,4095221.0,Детское питание (Food),5.0,1.0,24.0,24.0
906,4167924.0,Сопутствующие товары (Food),7.5,3.5,11.7,
907,3642581.0,Молочная гастрономия,7.0,7.0,10.0,
908,3675515.0,Кондитерские изделия (Food),8.0,4.5,19.0,
909,67403.0,Бакалея (Food),4.5,4.0,20.7,
910,4110622.0,Кондитерские изделия (Food),18.0,1.8,11.4,
911,4380998.0,Кондитерские изделия (Food),20.0,6.2,27.0,
912,3918328.0,Бакалея (Food),10.0,6.5,16.0,
913,31623.0,Бакалея (Food),8.0,8.0,12.0,
914,3651350.0,Бакалея (Food),3.7,14.2,10.6,
915,4259257.0,Мясная гастрономия,10.5,22.5,1.0,
916,4161192.0,Сопутствующие товары (Food),8.0,1.4,12.5,
917,4121613.0,Молочная гастрономия,10.3,3.1,15.2,6.0
918,4229311.0,Сопутствующие товары (Food),40.0,11.5,19.1,
919,3461659.0,Бакалея (Food),5.7,5.8,10.8,
920,4308165.0,Канцелярские товары,5.0,5.0,54.0,
